Website,Images,Gifs,Title Size,Links,Languages,h1,h2,h3,HTTPS,Paragraphs,Meta Description,Meta Keywords,JS Scripts,Size KB,Words,Cookies,MENA,LCP_m(s),LCP_o(s),INP_m(ms),INP_o(ms),FCP_m(s),FCP_o(s),TTF_m(s),TTF_o(s),CLS_m,CLS_o,FID_m(ms),FID_o(ms)
https://worldarchery.org/,34,0,13,119,2,0,7,19,True,4,True,False,4,165.787109375,489,False,FALSE,3.2,2.8,223.0,80.0,2.1,1.6,0.8,0.7,0.88,0.56,15.0,3.0
https://www.ifsc-climbing.org/,51,0,67,151,2,1,8,0,True,7,True,False,81,507.9033203125,508,False,FALSE,1.5,1.6,99.0,39.0,1.4,1.5,0.9,1.1,0.14,0.05,15.0,2.0
https://www.forbes.com/,0,0,6,184,2,0,15,3,True,4,True,True,14,393.7333984375,662,True,FALSE,1.7,1.8,214.0,116.0,1.4,1.6,0.7,1.1,0.03,0.08,31.0,9.0
https://worldcurling.org/,16,0,20,70,5,1,5,9,True,21,False,False,4,85.259765625,317,False,FALSE,1.7,1.3,122.0,34.0,1.5,1.2,0.9,0.7,0.0,0.07,15.0,2.0
https://www.mundodeportivo.com/,198,0,65,450,2,1,190,5,True,399,True,False,41,747.109375,3243,False,FALSE,1.9,1.8,305.0,108.0,1.4,1.1,0.5,0.4,0.05,0.13,25.0,4.0
https://sport360.com/,28,0,29,83,5,0,2,0,True,14,True,False,42,114.41796875,478,True,TRUE,4.4,3.1,413.0,125.0,4.4,2.7,1.0,0.7,0.1,0.13,39.0,5.0
https://www.okaz.com.sa/,97,0,76,301,2,1,1,43,True,0,True,True,16,234.6552734375,1867,True,TRUE,2.3,1.4,97.0,47.0,1.9,1.0,0.8,0.6,0.0,0.03,15.0,2.0
https://www.emaratalyoum.com/,93,0,70,245,2,1,29,80,True,75,True,True,22,149.759765625,2412,False,TRUE,2.2,1.6,175.0,66.0,1.9,1.0,0.8,0.5,0.11,0.07,19.0,3.0
https://gulfnews.com/,120,0,99,614,2,0,125,17,True,3,True,True,9,217.15234375,1705,True,TRUE,2.5,1.9,208.0,78.0,2.0,1.3,0.7,0.5,0.07,0.07,39.0,5.0
https://www.albawaba.com/,58,0,70,161,2,0,15,53,True,3,True,True,13,134.8935546875,795,False,TRUE,2.5,1.9,259.0,72.0,2.3,1.7,1.2,0.9,0.06,0.05,22.0,5.0
https://www.dailysabah.com/,78,0,59,499,2,2,32,85,True,0,True,True,22,261.8974609375,1457,False,TRUE,2.9,2.1,282.0,112.0,2.5,1.7,1.0,0.8,0.15,0.16,34.0,8.0
